"regione","codice_ateco","descrizione_ateco","numero_imprese"
"ABRUZZO","A","A Agricoltura, silvicoltura e pesca","26337"
"ABRUZZO","B","B Estrazione di minerali da cave e miniere","87"
"ABRUZZO","C","C Attivita' manifatturiere","11416"
"ABRUZZO","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","341"
"ABRUZZO","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","292"
"ABRUZZO","F","F Costruzioni","17407"
"ABRUZZO","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","31616"
"ABRUZZO","H","H Trasporto e magazzinaggio","2553"
"ABRUZZO","I","I Attivita' dei servizi di alloggio e di ristorazione","10221"
"ABRUZZO","J","J Servizi di informazione e comunicazione","2702"
"ABRUZZO","K","K Attivita' finanziarie e assicurative","2481"
"ABRUZZO","L","L Attivita' immobiliari","3381"
"ABRUZZO","M","M Attivita' professionali, scientifiche e tecniche","4255"
"ABRUZZO","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","4575"
"ABRUZZO","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","1"
"ABRUZZO","P","P Istruzione","653"
"ABRUZZO","Q","Q Sanita' e assistenza sociale","901"
"ABRUZZO","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","2187"
"ABRUZZO","S","S Altre attivita' di servizi","6519"
"ABRUZZO","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","1"
"ABRUZZO","U","U Organizzazioni ed organismi extraterritoriali","0"
"ABRUZZO","X","X Imprese non classificate","59"
"BASILICATA","A","A Agricoltura, silvicoltura e pesca","17967"
"BASILICATA","B","B Estrazione di minerali da cave e miniere","44"
"BASILICATA","C","C Attivita' manifatturiere","3648"
"BASILICATA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","267"
"BASILICATA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","110"
"BASILICATA","F","F Costruzioni","6046"
"BASILICATA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","11956"
"BASILICATA","H","H Trasporto e magazzinaggio","1277"
"BASILICATA","I","I Attivita' dei servizi di alloggio e di ristorazione","3440"
"BASILICATA","J","J Servizi di informazione e comunicazione","891"
"BASILICATA","K","K Attivita' finanziarie e assicurative","831"
"BASILICATA","L","L Attivita' immobiliari","511"
"BASILICATA","M","M Attivita' professionali, scientifiche e tecniche","1503"
"BASILICATA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","1346"
"BASILICATA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","1"
"BASILICATA","P","P Istruzione","320"
"BASILICATA","Q","Q Sanita' e assistenza sociale","400"
"BASILICATA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","617"
"BASILICATA","S","S Altre attivita' di servizi","2060"
"BASILICATA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"BASILICATA","U","U Organizzazioni ed organismi extraterritoriali","0"
"BASILICATA","X","X Imprese non classificate","25"
"CALABRIA","A","A Agricoltura, silvicoltura e pesca","32416"
